date,open_price,highest_price,lowest_price,close_price,adjusted_close,volume,symbol
2023-03-24,105.74,106.16,104.74,106.06,106.06,25245010,GOOG
2023-03-27,159.94,160.77,157.87,158.28,158.060179387767,52390266,AAPL
2023-03-27,204.81,205.86,201.36,202.84,202.84,18527184,META
2023-03-27,105.32,105.4,102.63,103.06,103.06,25393417,GOOG
2023-03-27,99.07,99.34,97.08,98.04,98.04,46721296,AMZN
2023-03-27,280.5,281.4589,275.52,276.38,275.782763442227,26840212,MSFT
2023-03-28,200.15,201.03,197.9,200.68,200.68,19127295,META
2023-03-28,98.11,98.44,96.29,97.24,97.24,38720050,AMZN
2023-03-28,103.0,103.0,100.28,101.36,101.36,24913480,GOOG
2023-03-28,157.97,158.49,155.98,157.65,157.431054337133,45992152,AAPL
2023-03-28,275.79,276.14,272.0451,275.23,274.635248506419,21878647,MSFT
2023-03-29,159.37,161.05,159.35,160.77,160.546721254557,51305691,AAPL
2023-03-29,102.72,102.82,101.03,101.9,101.9,26148300,GOOG
2023-03-29,98.69,100.4218,98.56,100.25,100.25,49783279,AMZN
2023-03-29,278.96,281.1398,278.41,280.51,279.903838820389,25087032,MSFT
2023-03-29,203.56,205.72,202.5355,205.35,205.35,18851137,META
2023-03-30,101.44,101.61,100.29,101.32,101.32,25009829,GOOG
2023-03-30,101.55,103.04,101.01,102.0,102.0,53633398,AMZN
2023-03-30,284.23,284.46,281.48,284.05,283.436189144528,25053410,MSFT
2023-03-30,161.53,162.47,161.271,162.36,162.134513049013,49501689,AAPL
2023-03-30,203.38,208.09,202.82,207.84,207.84,22608303,META
2023-03-31,283.73,289.27,283.0,288.3,287.677005211644,32765976,MSFT
2023-03-31,102.16,103.49,101.95,103.29,103.29,56750317,AMZN
2023-03-31,101.71,104.19,101.44,104.0,104.0,28107953,GOOG
2023-03-31,207.24,212.17,206.77,211.94,211.94,25440273,META
2023-03-31,162.44,165.0,161.91,164.9,164.670985475378,68749792,AAPL
2023-04-03,286.52,288.27,283.95,287.23,286.609317401805,24883342,MSFT
2023-04-03,102.3,103.29,101.43,102.41,102.41,41135733,AMZN
2023-04-03,164.27,166.29,164.22,166.17,165.93922168856,56976187,AAPL
2023-04-03,102.67,104.95,102.38,104.91,104.91,20719861,GOOG
2023-04-03,208.84,213.4861,208.2,213.07,213.07,17924613,META
2023-04-04,166.595,166.84,165.11,165.63,165.399971645159,46278295,AAPL
2023-04-04,102.75,104.2,102.11,103.95,103.95,48662496,AMZN
2023-04-04,104.84,106.1,104.6,105.12,105.12,20377231,GOOG
2023-04-04,287.23,290.4499,285.67,287.18,286.559425448074,25824299,MSFT
2023-04-04,213.39,216.24,212.54,214.72,214.72,21026367,META
2023-04-05,106.12,106.54,104.1021,104.95,104.95,21864200,GOOG
2023-04-05,103.91,103.91,100.7506,101.1,101.1,45175393,AMZN
2023-04-05,214.15,215.19,209.94,211.48,211.48,19396630,META
2023-04-05,164.74,165.05,161.8,163.76,163.532568717088,51511744,AAPL
2023-04-05,285.85,287.15,282.92,284.34,283.725562476166,22064770,MSFT
2023-04-06,209.25,216.94,208.65,216.1,216.1,26104411,META
2023-04-06,105.77,109.63,104.815,108.9,108.9,34684150,GOOG
2023-04-06,283.21,292.08,282.03,291.6,290.969874157875,29770334,MSFT
2023-04-06,162.43,164.9584,162.0,164.66,164.431318789422,45390123,AAPL
2023-04-06,100.75,102.3817,99.8008,102.06,102.06,43808020,AMZN
2023-04-10,214.71,215.66,210.66,214.75,214.75,16106074,META
2023-04-10,161.42,162.03,160.08,162.03,161.804971355824,47716882,AAPL
2023-04-10,100.96,102.2,99.57,102.17,102.17,37261185,AMZN
2023-04-10,107.39,107.97,105.6,106.95,106.95,19741517,GOOG
2023-04-10,289.208,289.6,284.71,289.39,288.764649802974,23102994,MSFT
2023-04-11,215.48,216.02,213.41,213.85,213.85,16710101,META
2023-04-11,106.92,107.22,105.28,106.12,106.12,18721278,GOOG
2023-04-11,285.75,285.98,281.64,282.83,282.218825473497,27276589,MSFT
2023-04-11,162.35,162.36,160.51,160.8,160.576679590301,47644217,AAPL
2023-04-11,100.8,101.0,99.01,99.92,99.92,60417847,AMZN
2023-04-12,161.22,162.06,159.78,160.1,159.877651756264,50133062,AAPL
2023-04-12,107.39,107.5874,104.97,105.22,105.22,22761569,GOOG
2023-04-12,100.4,100.51,97.705,97.83,97.83,56735007,AMZN
2023-04-12,284.79,287.01,281.96,283.49,282.877399262743,27403432,MSFT
2023-04-12,214.835,216.84,212.584,214.0,214.0,18972172,META
2023-04-13,161.63,165.8,161.42,165.56,165.330068861756,68445649,AAPL
2023-04-13,106.47,108.265,106.44,108.19,108.19,21650747,GOOG
2023-04-13,283.59,289.9,283.17,289.84,289.213677386551,24222678,MSFT
2023-04-13,98.95,102.57,98.71,102.4,102.4,67925138,AMZN
2023-04-13,215.73,221.15,215.69,220.35,220.35,23310357,META
2023-04-14,164.59,166.32,163.82,165.21,164.980554944737,49386480,AAPL
2023-04-14,102.07,103.2013,101.11,102.51,102.51,51450522,AMZN
2023-04-14,217.88,222.11,217.55,221.49,221.49,21591207,META
